OBJECTID,ALTERNATE,ROUTENAME,COMMENTS,ALTERNATEFREQUENCYCOMMENT,ROUTENO,BUSROUTE,SHAPE_Length,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FREQUENTNETWORKFLAG
1,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,464.252520826503,,,CCARRELLI,2018-05-10T16:57:48.000Z,YES
2,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,270.250311255432,,,CCARRELLI,2018-05-10T17:05:14.000Z,NO
3,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,495.673062374074,,,CCARRELLI,2018-05-10T16:55:38.000Z,YES
4,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,273.604113837334,,,CCARRELLI,2018-05-10T17:00:36.000Z,NO
5,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,242.817864783268,,,CCARRELLI,2018-05-10T16:54:43.000Z,YES
6,ABERDEEN,CITY CENTRE TO ABERDEEN,,,7,,104.309401430552,,,CCARRELLI,2018-05-10T16:55:30.000Z,YES
7,GLENEAGLES,GLENEAGLES,,,9,,426.555508898113,,,CCARRELLI,2018-05-10T16:59:00.000Z,YES
8,WESTSYDE,WESTSYDE,,,3,,100.734057607498,,,CCARRELLI,2018-05-10T16:43:05.000Z,YES
9,GLENEAGLES,GLENEAGLES,,,9,,3182.90489339227,,,CCARRELLI,2018-05-10T16:55:00.000Z,NO
10,WESTSYDE,WESTSYDE,,,3,,279.600821141251,,,CCARRELLI,2018-05-10T16:45:45.000Z,YES
11,WESTSYDE,WESTSYDE,,,3,,46.005603328852,,,CCARRELLI,2018-05-10T16:45:14.000Z,YES
12,WESTSYDE,WESTSYDE,,,3,,69.188256667525,,,CCARRELLI,2018-05-10T16:38:56.000Z,YES
13,WESTSYDE,WESTSYDE,,,3,,36.3608288648014,,,CCARRELLI,2018-05-10T16:38:56.000Z,YES
14,WESTSYDE,WESTSYDE,,,3,,15.2730036666527,,,CCARRELLI,2018-05-10T16:38:56.000Z,YES
15,WESTSYDE,WESTSYDE,,,3,,45.4918158121022,,,CCARRELLI,2018-05-10T16:38:56.000Z,YES
16,WESTSYDE,WESTSYDE,,,3,,57.0642534968541,,,CCARRELLI,2018-05-10T16:45:24.000Z,YES
