route_short_name,trip_headsign,route_long_name
156,156 BRAID STN,Braid Station/Lougheed Station
169,169 COQ CTRL STN ,Coquitlam Centralstn/Braid Station
112,112 NEW WEST STN,Edmonds Station/New West Station
105,105 UPTOWN,Uptown/New Westminster Station
106,106 NEW WEST STN,New Westminster Station/Edmonds Station
153,153 COQ CTRL STN,Coquitlam Central Station/Braid Station
101,101 LOUGHEED STN,Lougheed Station/22nd St Station
109,109 LOUGHEED STN,New Westminster Station/Lougheed Station
128,128 BRAID STN,Braid Station/22nd Street Station
388,388 CARVOLTH EXCH,22st Station/Carvolth Exchange
123,123 NEW WEST STN,New West Station/Brentwood Station
791,791 HANEY PLACE,Haney Place/Braid Station
301,301 NEWTON EXCH,Newton Exchange/Brighouse Station
155,155 BRAID STN VIA HOSPITAL,Braid Station/22nd Street  Station
418,418 22ND ST STN,Kingswood/22nd St Station
100,100 22ND ST STN VIA TRAPP,22nd St Station/Marpole Loop
104,104 22ND ST STN VIA PORT ROYAL,22nd St Station/Annacis Island
116,116 EDMONDS STN,Edmonds Station/Metrotown Station
159,SPECIAL,Coquitlam Central Station/Braid Station
340,340 SCOTTSDALE,Scottsdale/22nd St Station
321,321 SURREY CTRL STN,White Rock/Newton/Surrey Central Station
410,410 22ND ST STN,Richmond-Brighouse Station/22nd St Station
103,103 VICTORIA HILL,Quayside/Victoria Hill
N19,N19 NEW WEST STN,Downtown/Surrey Central Station Nightbus
