OBJECTID,NAME,MAPID,CLASSIFICATION,FACILITYOWNER,STATUS,OPERATOR,POPULATION,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE_Length,SHAPE_Area
1,ST ANN'S ACADEMY SCHOOL,P4,K12,PRIVATE,OPEN,PRIVATE,429,,,,,765.4881004,29449.14153
2,KAMLOOPS CHRISTIAN SCHOOL,P1,K12,PRIVATE,OPEN,PRIVATE,210,,,RBAUER,2018-03-06T17:27:04.000Z,616.2491643,24093.78993
3,WESTSYDE SECONDARY SCHOOL,S7,SECONDARY,PROVINCE,OPEN,PROVINCE,640,,,DKLASSEN,2018-10-15T16:23:10.000Z,1200.194692,63695.03074
4,SAHALI SECONDARY SCHOOL,S4,SECONDARY,PROVINCE,OPEN,PROVINCE,859,,,DKLASSEN,2018-10-15T16:22:04.000Z,1138.745175,52593.04419
5,TWIN RIVERS EDUCATION CENTER (GEORGE HILLARD),L7,LEARNING CENTRE,PROVINCE,OPEN,PRIVATE,204,,,DKLASSEN,2018-10-15T16:22:45.000Z,856.6350977,38584.60475
6,KAMLOOPS SCHOOL OF THE ARTS,S2,K12,PROVINCE,OPEN,PROVINCE,508,,,DKLASSEN,2018-10-15T16:19:41.000Z,732.8245534,29177.43821
7,WESTSYDE ELEMENTARY SCHOOL (CLOSED),E25,ELEMENTARY,PROVINCE,CLOSED,CITY,0,,,,,587.6280112,20664.4876
9,JUNIPER RIDGE ELEMENTARY SCHOOL,E12,ELEMENTARY,PROVINCE,OPEN,PROVINCE,440,,,DKLASSEN,2018-10-15T16:19:26.000Z,691.1875873,27482.3505
10,HENRY GRUBE EDUCATION CENTRE,L4,LEARNING CENTRE,PROVINCE,OPEN,PROVINCE,0,,,CCARRELLI,2018-05-09T22:53:37.000Z,544.6337081,16363.12608
11,KAY BINGHAM ELEMENTARY SCHOOL,E13,ELEMENTARY,PROVINCE,OPEN,PROVINCE,321,,,DKLASSEN,2018-10-15T16:19:44.000Z,732.185522,31134.91375
