OBJECTID,SchoolName,SchoolType,LieCycleStatus,created_user,created_date,last_edited_user,last_edited_date,SubType_TEXT,Shape__Area,Shape__Length
1,Beaverly Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,36106.4834,740.4509486
2,Malaspina Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,31929.48145,719.6127263
3,Southridge Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,28704.16187,753.2148397
4,College Heights Secondary,3,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Secondary,108865.322,1693.737253
5,College Heights Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,41467.70947,867.8867441
6,Van Bien Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,29411.28979,681.6225579
7,Westwood Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,31912.17627,712.2101276
8,South Fort George Elementary,1,Abandoned,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,14686.94946,521.0352928
9,Blackburn Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,32468.14014,730.994165
10,Blackburn Junior Secondary,3,Abandoned,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Secondary,64678.96655,1096.286453
11,Aboriginal Choice School,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,46656.82422,896.2166505
12,Pinewood Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,28661.63501,689.0746526
13,Ron Brent Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,22676.48071,634.1653663
14,Central Fort George Traditional,1,Abandoned,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,16111.13696,535.1565169
15,Quinson Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,36003.80151,760.7190816
16,Highland Elementary,1,Abandoned,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,34408.0437,738.6201709
17,Duchess Park Secondary,3,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Secondary,18538.08154,570.9155691
18,School District 57 Office,6,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Office,25523.19312,639.0362978
19,John McGinnis Secondary,3,Abandoned,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Secondary,38472.90063,780.1040752
20,Peden Hill Elementary,1,Active,CPGGIS,2018-11-13T06:10:50.179Z,CPGGIS,2018-11-13T06:10:50.179Z,Elementary,32730.67456,724.7319335
