X,Y,OBJECTID,Name,SchoolType,House,Street,WebPage
532004.810034999623895,5452218.108667999506,1,FACILITIES DEPT,Other,23889,12000,http://www.sd42.ca/
532198.43027599994093,5448087.9915159996599,2,ALBION ELEM,Elementary,10031,24000,http://albion.sd42.ca/
531922.789750999771059,5451710.03548499941826,3,ALEXANDER ROBINSON ELEM,Elementary,11849,23820,http://are.sd42.ca/
533801.195612999610603,5452395.687594,4,BLUE MOUNTAIN ELEM,Elementary,12153,24800,http://www.sd42.ca/
529349.777506000362337,5452352.8235199991614,5,ERIC LANGTON ELEM,Elementary,12138,22510,http://ericlangton.sd42.ca/
525420.318028000183403,5452444.970346,6,FAIRVIEW ELEM,Elementary,12209,20600,http://www.sd42.ca/
527115.940379999577999,5452201.734319999814,7,GLENWOOD ELEM,Elementary,21410,12055,http://www.sd42.ca/
530480.521177999675274,5451558.17460699938238,8,GOLDEN EARS ELEM,Elementary,23124,11800,http://goldenears.sd42.ca/Golden%20Ears%20Main/Golden%20Ears%20Elementary.html
524934.183724000118673,5451130.015124,9,HAMMOND ELEM,Elementary,11520,20300,http://hammond.sd42.ca/
530274.281720999628305,5452581.50204499997199,10,HARRY HOOGE ELEM,Elementary,12280,23000,http://harryhooge.sd42.ca/
531170.636191999539733,5450208.372841,11,KANAKA CREEK ELEM,Elementary,11120,23425,http://kc.sd42.ca/home.html
526384.778927999548614,5452773.9859699998051,12,LAITY VIEW ELEM,Elementary,21023,12300,http://www.sd42.ca/
525909.995947999879718,5451118.163712,13,MAPLE RIDGE ELEM,Elementary,20820,10310,http://mre.sd42.ca/
527919.082294000312686,5452525.09359299950302,14,MOUNT CRESCENT ELEM,Elementary,21821,12200,http://www.sd42.ca/
525274.70017100032419,5451449.62950599938631,15,RIDGEMEADOWS COLLEGE / RIVERSIDE CENTRE,College,20575,11685,http://rmcollege.ca/
535427.187702000141144,5452025.8294229991734,16,WEBSTER'S CORNERS ELEM,Elementary,25554,12000,http://wc.sd42.ca/
530855.222587999887764,5453754.694318,17,YENNADON ELEM,Elementary,23347,12800,http://yennadon.sd42.ca/
533744.6926159998402,5452146.75975799933076,18,GARIBALDI SEC,Secondary,24789,12000,http://gss.sd42.ca/
528041.848333000205457,5452484.83771299943328,19,MAPLE RIDGE SENIOR SEC,Secondary,21911,12200,http://mrss.sd42.ca/
526045.97390899993479,5452457.610863,20,WESTVIEW SEC,Secondary,20905,12150,http://wss.sd42.ca/
528714.446236000396311,5452227.088769,21,SD #42  OFFICES,Other,22225,12050,http://www.sd42.ca/
530424.040985999628901,5451086.298157,22,THOMAS HANEY SEC,Secondary,23000,11600,http://www.thss.ca/
528532.044009,5453066.800494,23,ALOUETTE ELEM,Elementary,22155,22150,http://at.sd42.ca/
539298.27267500013113,5450517.997687,24,WHONNOCK ELEM,Elementary,27471,11200,http://whonnockschool.sd42.ca/
525227.05126699991524,5452368.330124,25,MAPLE RIDGE CHRISTIAN,Private,12140,20300,http://www.mrcs.ca/
525208.73556699976325,5452073.45584799908102,26,MAPLE RIDGE CHRISTIAN ACADEMY,Private,20450,12000,http://mrcs.ca/
532385.412592000328004,5452521.251319,27,MEADOWRIDGE,Private,12224,24000,http://www.meadowridge.bc.ca/
529398.169284,5452290.103287,28,ST. PATRICK'S,Private,22589,12100,http://www.stpatsschool.org/
533281.321809000335634,5448957.07556499913335,34,SAMUEL ROBERTSON TECHNICAL SEC,Secondary,10445,24500,http://www.srtss.ca/
530444.976847000420094,5454599.05657299980521,35,MAPLE RIDGE ALTERNATIVE ALOUETTE RIVER CAMPUS,Secondary,23121,13200,http://www.sd42.ca/
